rep,d,L
0,2,672.3605245119471
0,4,599.891758460797
0,8,465.6561980290283
0,16,389.03724372968014
0,32,310.6286379901273
0,64,238.80529348720358
0,128,173.40064774965327
0,256,129.85568709455575
0,512,97.82388792583853
0,1024,73.85809326123781
1,2,672.3605245119471
1,4,599.891758460797
1,8,465.6561980290283
1,16,389.03724372968014
1,32,310.6286379901273
1,64,238.80529348720358
1,128,173.40064774965327
1,256,129.85568709455575
1,512,97.82388792583853
1,1024,73.85809326123781
2,2,672.3605245119471
2,4,599.891758460797
2,8,465.6561980290283
2,16,389.03724372968014
2,32,310.6286379901273
2,64,238.80529348720358
2,128,173.40064774965327
2,256,129.85568709455575
2,512,97.82388792583853
2,1024,73.85809326123781
3,2,672.3605245119471
3,4,599.891758460797
3,8,465.6561980290283
3,16,389.03724372968014
3,32,310.6286379901273
3,64,238.80529348720358
3,128,173.40064774965327
3,256,129.85568709455575
3,512,97.82388792583853
3,1024,73.85809326123781
4,2,672.3605245119471
4,4,599.891758460797
4,8,465.6561980290283
4,16,389.03724372968014
4,32,310.6286379901273
4,64,238.80529348720358
4,128,173.40064774965327
4,256,129.85568709455575
4,512,97.82388792583853
4,1024,73.85809326123781
5,2,672.3605245119471
5,4,599.891758460797
5,8,465.6561980290283
5,16,389.03724372968014
5,32,310.6286379901273
5,64,238.80529348720358
5,128,173.40064774965327
5,256,129.85568709455575
5,512,97.82388792583853
5,1024,73.85809326123781
6,2,672.3605245119471
6,4,599.891758460797
6,8,465.6561980290283
6,16,389.03724372968014
6,32,310.6286379901273
6,64,238.80529348720358
6,128,173.40064774965327
6,256,129.85568709455575
6,512,97.82388792583853
6,1024,73.85809326123781
7,2,672.3605245119471
7,4,599.891758460797
7,8,465.6561980290283
7,16,389.03724372968014
7,32,310.6286379901273
7,64,238.80529348720358
7,128,173.40064774965327
7,256,129.85568709455575
7,512,97.82388792583853
7,1024,73.85809326123781
8,2,672.3605245119471
8,4,599.891758460797
8,8,465.6561980290283
8,16,389.03724372968014
8,32,310.6286379901273
8,64,238.80529348720358
8,128,173.40064774965327
8,256,129.85568709455575
8,512,97.82388792583853
8,1024,73.85809326123781
9,2,672.3605245119471
9,4,599.891758460797
9,8,465.6561980290283
9,16,389.03724372968014
9,32,310.6286379901273
9,64,238.80529348720358
9,128,173.40064774965327
9,256,129.85568709455575
9,512,97.82388792583853
9,1024,73.85809326123781
10,2,672.3605245119471
10,4,599.891758460797
10,8,465.6561980290283
10,16,389.03724372968014
10,32,310.6286379901273
10,64,238.80529348720358
10,128,173.40064774965327
10,256,129.85568709455575
10,512,97.82388792583853
10,1024,73.85809326123781
11,2,672.3605245119471
11,4,599.891758460797
11,8,465.6561980290283
11,16,389.03724372968014
11,32,310.6286379901273
11,64,238.80529348720358
11,128,173.40064774965327
11,256,129.85568709455575
11,512,97.82388792583853
11,1024,73.85809326123781
12,2,672.3605245119471
12,4,599.891758460797
12,8,465.6561980290283
12,16,389.03724372968014
